CODE;DATE;BREVETS
BR;1987-01-01;58200
BR;1988-01-01;65084
BR;1989-01-01;72064
BR;1990-01-01;79601
BR;1991-01-01;86545
BR;1992-01-01;93019
BR;1993-01-01;99669
BR;1994-01-01;106166
BR;1995-01-01;113614
BR;1996-01-01;121671
BR;1997-01-01;137906
BR;1998-01-01;153943
BR;1999-01-01;171452
BR;2000-01-01;188735
BR;2001-01-01;206584
BR;2002-01-01;223269
BR;2003-01-01;239680
BR;2004-01-01;256393
BR;2005-01-01;274891
BR;2006-01-01;294733
BR;2007-01-01;316396
BR;2008-01-01;339566
BR;2009-01-01;361972
BR;2010-01-01;386971
BR;2011-01-01;415620
BR;2012-01-01;446055
BR;2013-01-01;476939
BR;2014-01-01;507281
BR;2015-01-01;537500
BR;2016-01-01;565510
BR;2017-01-01;591168
BR;2018-01-01;616025
BN;1980-01-01;0
BN;1981-01-01;0
BN;1982-01-01;0
BN;1983-01-01;0
BN;1984-01-01;0
BN;1985-01-01;0
BN;1986-01-01;0
BN;1987-01-01;0
BN;1988-01-01;0
BN;1989-01-01;0
BN;1990-01-01;0
BN;1991-01-01;0
BN;1992-01-01;0
BN;1993-01-01;88
BN;1994-01-01;129
BN;1995-01-01;171
BN;1996-01-01;192
BN;1997-01-01;234
BN;1998-01-01;266
BN;1999-01-01;300
BN;2000-01-01;321
BN;2001-01-01;342
BN;2002-01-01;363
BN;2003-01-01;406
BN;2004-01-01;437
BN;2005-01-01;463
BN;2006-01-01;504
BN;2007-01-01;568
BN;2008-01-01;643
BN;2009-01-01;685
BN;2010-01-01;685
BN;2011-01-01;685
BN;2012-01-01;716
BN;2013-01-01;751
BN;2014-01-01;868
BN;2015-01-01;868
BN;2016-01-01;957
BN;2017-01-01;1064
BN;2018-01-01;1185
BG;1980-01-01;4101
BG;1981-01-01;8645
BG;1982-01-01;12990
BG;1983-01-01;17529
BG;1984-01-01;22110
BG;1985-01-01;22360
BG;1986-01-01;22572
BG;1987-01-01;22886
BG;1988-01-01;23145
BG;1989-01-01;23475
BG;1990-01-01;24004
BG;1991-01-01;24752
BG;1992-01-01;25432
BG;1993-01-01;25996
BG;1994-01-01;26846
BG;1995-01-01;27577
BG;1996-01-01;28300
BG;1997-01-01;29232
BG;1998-01-01;30030
BG;1999-01-01;30928
BG;2000-01-01;31868
BG;2001-01-01;32936
BG;2002-01-01;33960
BG;2003-01-01;34918
BG;2004-01-01;35314
BG;2005-01-01;35627
BG;2006-01-01;35918
BG;2007-01-01;36157
BG;2008-01-01;36428
BG;2009-01-01;36694
BG;2010-01-01;36954
BG;2011-01-01;37237
BG;2012-01-01;37496
BG;2013-01-01;37793
BG;2014-01-01;38027
BG;2015-01-01;38318
BG;2016-01-01;38559
BG;2017-01-01;38784
BG;2018-01-01;38982
BF;1980-01-01;0
BF;1981-01-01;0
BF;1982-01-01;0
BF;1983-01-01;0
BF;1984-01-01;0
BF;1985-01-01;0
BF;1986-01-01;0
BF;1987-01-01;0
BF;1988-01-01;0
BF;1989-01-01;0
BF;1990-01-01;0
BF;1991-01-01;0
BF;1992-01-01;0
BF;1993-01-01;0
BF;1994-01-01;0
BF;1995-01-01;0
BF;1996-01-01;0
BF;1997-01-01;0
BF;1998-01-01;2
BF;1999-01-01;6
BF;2000-01-01;8
BF;2001-01-01;8
BF;2002-01-01;8
BF;2003-01-01;9
BF;2004-01-01;11
BF;2005-01-01;12
BF;2006-01-01;12
BF;2007-01-01;12
BF;2008-01-01;12
BF;2009-01-01;12
BF;2010-01-01;14
BF;2011-01-01;14
BF;2012-01-01;14
BF;2013-01-01;14
BF;2014-01-01;14
BF;2015-01-01;14
BF;2016-01-01;14
BF;2017-01-01;14
BF;2018-01-01;14
BI;1980-01-01;10
BI;1981-01-01;15
BI;1982-01-01;17
BI;1983-01-01;19
BI;1984-01-01;26
BI;1985-01-01;26
BI;1986-01-01;28
BI;1987-01-01;28
BI;1988-01-01;28
BI;1989-01-01;30
BI;1990-01-01;33
BI;1991-01-01;33
BI;1992-01-01;35
BI;1993-01-01;36
BI;1994-01-01;40
BI;1995-01-01;41
BI;1996-01-01;46
